ID,UID,Title,PURL,Image,Banner,Body,Topics,Geo,Groups,Projects,Membership_Request,Access,Organisations,Status,Welcome_Message
group_1,user_3,"Football Talk",football-talk,football.jpg,,"Football refers to a number of sports that involve, to varying degrees, kicking a ball with the foot to score a goal. The most popular of these sports worldwide is association football, more commonly known as just 'football' or 'soccer'. Unqualified, the word football applies to whichever form of football is the most popular in the regional context in which the word appears, including association football, as well as American football, Australian rules football, Canadian football, Gaelic football, rugby league, rugby union, and other related games. These variations of football are known as football codes.",t_earth|t_fire,Worldwide,,project_1,1,0,,published,"You are very welcome to this group."
group_2,user_5,"Tennis Group",tennis-group,tennis.jpg,,"Tennis is a sport people play individually against a single opponent (singles) or between two teams of two players each (doubles). Each player uses a racquet that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court. The object of the game is to play the ball in such a way that the opponent is not able to play a good return.",t_wind,Worldwide,group_1,,0,1,,published,"You are very welcome to this group."
group_3,user_1,"Movie Popcorn Corner",movie-corner,movie.jpeg,movie-popcorn.png,"A film, also called a movie or motion picture, is a series of still images which, when shown on a screen, creates the illusion of moving images due to phi phenomenon. This optical illusion causes us to perceive continuous motion between separate objects viewed rapidly in succession. A film is created byphotographing actual scenes with a motion picture camera; by photographing drawings or miniature models using traditional animation techniques; by means of CGI and computer animation; or by a combination of some or all of these techniques and other visual effects. Contemporary definition of cinema is the art of simulating experiences, that communicate ideas, stories, perceptions, feelings, beauty or atmosphere by the means of recorded or programmed moving images along with other sensory stimulations.",t_earth,Worldwide,,,1,0,,published,"You are very welcome to this group."
group_4,user_4,"Music Lovers",music-lovers,music.jpg,,"Music is an art form whose medium is sound and silence. Its common elements are pitch (which governs melody and harmony), rhythm (and its associated concepts tempo, meter, and articulation), dynamics, and the sonic qualities of timbre and texture. The word derives from Greek μουσική",t_wind|t_fire,Worldwide,,,1,0,,published,"You are very welcome to this group."
group_5,user_5,Geologists,geology,geology.jpg,,"Geology (from the Greek γῆ, gē, i.e. 'earth' and -λoγία, -logia, i.e. 'study of, discourse') is the science comprising the study of solid Earth, the rocks of which it is composed, and the processes by which they change. Geology can also refer generally to the study of the solid features of any celestial body (such as the geology of the Moon or Mars).",t_fire|t_water,Western Africa|Sub-Saharan Africa,group_1|group_2|group_3,,0,1,,published,"You are very welcome to this group."
group_6,user_1,Architecture,architecture,architecture.jpg,,"Architecture (Latin architectura, after the Greek ἀρχιτέκτων – arkhitekton – from ἀρχι- 'chief' and τέκτων 'builder, carpenter, mason') is both the process and the product of planning, designing, and constructing buildings and other physical structures. Architectural works, in the material form of buildings, are often perceived as cultural symbols and asworks of art. Historical civilizations are often identified with their surviving architectural achievements.",t_earth|t_wind|t_fire|t_water,Swaziland|Burundi,,project_1,0,1,,published,"You are very welcome to this group."
group_7,user_8,"Nobel Prize",nobelprize,nobelprize.jpg,nobel-prize-eu.jpg,"The Nobel Prize (Swedish pronunciation: [noˈbɛl], Swedish definite form, singular: Nobelpriset; Norwegian: Nobelprisen) is a set of annual international awards bestowed in a number of categories by Swedish and Norwegian committees in recognition of cultural and/or scientific advances. The will of the Swedish inventor Alfred Nobel established the prizes in 1895.",t_earth|t_wind|t_fire|t_water,Sweden|Worldwide,,,0,0,,published,"You are very welcome to this group."
group_8,user_8,"Pending group",pending,geology.jpg,,"Some description",t_earth|t_wind|t_fire|t_water,Sweden|Worldwide,,,0,0,,pending,"You are very welcome to this group."
group_10,user_8,"Draft group",draft,geology.jpg,,"Some description",t_earth|t_wind|t_fire|t_water|t_erosion|t_gas,Sweden|Worldwide,,,0,0,,draft,"You are very welcome to this group."
group_11,user_8,"Published group",published,geology.jpg,,"Some description",t_earth|t_wind|t_fire|t_water,Sweden|Worldwide,,,0,0,,published,"You are very welcome to this group."
group_12,user_8,"Archived group",archived,geology.jpg,,"Some description",t_earth|t_wind|t_fire|t_water,Sweden|Worldwide,,,0,0,,archived,"You are very welcome to this group."
group_13,user_8,"Deleted group",deleted,nobelprize.jpg,,"Some description",t_earth|t_wind|t_fire|t_water,Sweden|Worldwide,,,0,0,,deleted,"You are very welcome to this group."
group_14,user_2,"Restricted group with partner access",restrictedparnters,,,"Restricted, only partners have access",t_earth,Israel|Belgium,,,1,1,organisation_3|organisation_4,published,"You are very welcome to this group."
group_15,user_1,"Restricted group with EC/EEAS",eceeas,,,"Restricted, only EC/EEAS has access",t_earth,Europe,,,1,1,organisation_1,published,"You are very welcome to this group."
group_16,user_1,"Restricted group with EU",eu,,,"Restricted, only EU has access",t_earth,Europe,,,1,1,organisation_1|organisation_2,published,"You are very welcome to this group."
